gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1.3_RNAseq_rep1	E12.5_DFL_DelCBS1.3_RNAseq_rep2	E12.5_DFL_DelCBS1.3_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000050368	Hoxd10	1581.9404274589	1650.82544024865	1456.41500326297	728.909950815153	715.331897680344	816.665913459003	1158.3481054875	1.05133443067192	0.0907378453869563	11.58650424405	4.82422529059493e-31	6.44564741076388e-27
ENSMUSG00000043342	Hoxd9	409.17220528081	277.607390011892	333.490376417998	175.765520054718	132.553514586134	118.416557451556	241.167593967184	1.25713350203182	0.193559673389277	6.49481103175627	8.31376988178804e-11	5.5540139695285e-07
ENSMUSG00000035545	Leng8	4216.58681028815	5090.78605242447	4192.07824731686	3576.31137570158	3349.26164872378	3247.26783839136	3945.38199547437	0.407927874342701	0.0808492652931435	5.04553594721777	4.52251852441339e-07	0.00151063425011718
ENSMUSG00000042499	Hoxd11	1010.44403745402	817.015343558129	1018.70888421435	710.29948398583	595.348112925654	584.936960515011	789.458803775499	0.590380997672141	0.116285391106306	5.07700057638733	3.83439709758518e-07	0.00151063425011718
ENSMUSG00000074925	Ptar1	741.504559804659	1230.95661193885	944.020935329071	635.857616668538	575.922166822513	619.645261837019	791.317858733442	0.67059980831486	0.143992410343039	4.65718857485102	3.20556801718444e-06	0.00856591885552025
ENSMUSG00000027677	Ttc14	1741.3831177796	2344.34995195096	1472.04736465757	1245.86736274079	1239.83244246513	1250.5196799841	1548.99998659636	0.572300825931216	0.12532414158805	4.56656489866424	4.95781591511764e-06	0.0110402297403145
ENSMUSG00000021704	Mtx3	1026.77250573987	1322.83379083958	1082.97525883657	821.962284961768	827.316763451388	839.124226079126	986.830804984718	0.463531363679548	0.104045082516517	4.45510112028565	8.38536622978196e-06	0.016005268313731
ENSMUSG00000028248	Pnisr	4482.64479353413	5563.01499344114	3919.38038743339	3602.15924629786	3258.98813447978	3456.53847871523	4047.12100565026	0.436298009807285	0.099513160122212	4.38432473927537	1.16346106980936e-05	0.0172722259485809
ENSMUSG00000054387	Mdm4	2500.17664400457	3206.80992163203	2147.71276271278	1831.06315304062	1803.1848794562	1954.89403034249	2240.64023186478	0.490342316673248	0.111722304827484	4.38893842577282	1.13905311287388e-05	0.0172722259485809
ENSMUSG00000001823	Hoxd12	5554.56071159371	5765.53995768469	6067.09315014617	4620.56534779137	3822.34057147085	5001.05788754457	5138.52627103856	0.370781261119081	0.0851207955426038	4.35594214968892	1.32495769353949e-05	0.0177027597433812
ENSMUSG00000055240	Zfp101	1300.51447406154	1614.27215401933	1173.29556911644	1021.50784596507	947.300548206078	971.832437016214	1171.45383806411	0.474351166216675	0.10954432246725	4.33022137097512	1.4895951806321e-05	0.0180931647349323
ENSMUSG00000003847	Nfat5	3058.22606012699	3431.0692722822	2792.11343797881	2322.17269436998	2525.37299340824	2439.78941645877	2761.4573124375	0.348727162454044	0.0809084398990068	4.3101456768829	1.63147036886277e-05	0.0181650629986462
ENSMUSG00000028081	Rps3a1	25.9334496304738	1199.34295898376	1349.59386706658	22.7461261247282	27.4248650867863	17.3541506610038	440.399236258889	5.2534394245872	1.25672110519997	4.18027468692131	2.91157174736894e-05	0.029924238551228
ENSMUSG00000020863	Luc7l3	4390.43697262578	5403.95880201084	4102.62640155891	3563.90439781536	3465.81732534262	3726.0382301567	4108.79702158504	0.369291412079466	0.0887995535842728	4.15870797964091	3.20052745860048e-05	0.0305444624102579
ENSMUSG00000015120	Ube2i	1614.59736403061	1830.62809143073	1381.72705437769	1224.15515143992	1215.83568551419	1212.74888148662	1413.28203804663	0.401389772215041	0.0982508802371816	4.08535548227221	4.40093858545961e-05	0.0372574070820718
ENSMUSG00000060938	Rpl26	32.6569365717078	1317.89415756535	746.011024330885	15.5087223577692	34.2810813584829	17.3541506610038	360.617678807533	4.9658064807857	1.21646115194892	4.08217432412853	4.46163096559501e-05	0.0372574070820718
ENSMUSG00000041935	AW549877	1333.17141063325	1664.6564134165	1376.51626724616	1077.33924645303	1082.13946821611	1170.89475342185	1284.11959323115	0.392715131003655	0.0968339834918554	4.05555071517517	5.00163183463049e-05	0.0393098840838223
ENSMUSG00000022884	Eif4a2	4035.05266287484	5052.25691288546	3604.99623049768	3216.50901700133	3398.39786533761	3110.47629788698	3736.28149774732	0.383937612477354	0.0983035706317335	3.90563242016577	9.39792770161945e-05	0.069758728900743
ENSMUSG00000047909	Ankrd16	458.157610138371	612.514526004885	448.996157833606	350.497125285584	347.381624432627	340.958018869134	426.417510427368	0.547716110975269	0.141053967534126	3.88302520340491	0.000103164870199731	0.0725466226704529
ENSMUSG00000026034	Clk1	2064.11049095883	2193.19717375943	1765.58837306716	1638.75499580428	1619.20974283234	1487.35279488721	1794.70226188487	0.343546412458312	0.0892722103808208	3.84830185107772	0.000118939445026065	0.0794574962496628
ENSMUSG00000020385	Clk4	1006.60204491617	1221.07734539038	928.388573934478	831.26751837643	765.610817006119	760.520131908697	918.911071922046	0.419940805437671	0.109488850448131	3.8354663851057	0.00012532624726147	0.0797373328409759
ENSMUSG00000030002	Dusp11	2389.71935854144	3112.9568894216	2449.93841634159	2056.4565846402	2032.86812455804	2132.51886651982	2362.40970667045	0.353654551034611	0.0937038085115934	3.77417478170971	0.000160538183292491	0.0858907878577582
