gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1.2_RNAseq_rep1	E12.5_PFL_DelCBS1.2_RNAseq_rep2	E12.5_PFL_DelCBS1.2_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000024026	Glo1	1636.99853223627	1199.30700362648	1215.58812770494	832.805628638839	791.518501416505	829.271959496926	1084.24829218666	0.721738813829106	0.105379048339595	6.8489782855433	7.43792847190741e-12	2.54544507129851e-09
ENSMUSG00000019929	Dcn	1090.1955502879	1244.66657259874	844.680440244119	1936.56189055488	1785.80572166143	1604.09226180407	1417.66707285852	-0.743329936733736	0.1087423545009	-6.83569838215693	8.16064809043433e-12	2.72466126121843e-09
ENSMUSG00000006205	Htra1	258.054629734467	343.825532809709	270.020796471481	575.507546650799	494.055761612383	522.20031895124	410.61076437168	-0.864020339557306	0.129258936964813	-6.68441470930951	2.31849384084008e-11	7.05285826383552e-09
ENSMUSG00000027102	Hoxd8	516.109259468934	561.551463876544	497.510844780787	287.7537733254	340.692618945206	288.325988070514	415.323991411231	0.782653541895977	0.11843331187152	6.60839023690412	3.88521438083897e-11	1.10801457623552e-08
ENSMUSG00000033544	Angptl1	738.92294857887	860.017427713996	637.961222432619	1358.95395139806	1298.95493990589	1058.68303978833	992.248921636293	-0.730486421908495	0.110823164737577	-6.59145967937522	4.35523112261803e-11	1.21670936403098e-08
ENSMUSG00000011118	Panx3	18.188872580403	24.4941672450189	5.9345229993732	112.370999072328	80.2840612620122	78.5532103721523	53.3043055885479	-2.47208275431267	0.379486157433543	-6.514289667458	7.30344394647229e-11	1.92263161890883e-08
ENSMUSG00000020053	Igf1	824.183288799509	1083.1865070575	921.82923923597	1570.04339825355	1586.12485134309	1273.81171819388	1209.86316714725	-0.644032272511925	0.103048988982775	-6.24976798772451	4.11062856432716e-10	9.53735498594484e-08
ENSMUSG00000019936	Epyc	34.1041360882556	50.802717248928	28.6835278303038	151.228260433787	132.777485933328	99.0841630830558	82.7800484362763	-1.74272880645815	0.279593639153023	-6.23307744674529	4.57359912710777e-10	1.04346664084964e-07
ENSMUSG00000020415	Pttg1	580.90711803662	712.145232864438	463.881881117672	322.410249674809	328.341224904896	317.783441960071	454.244858093084	0.860602435720674	0.13833194557125	6.22128483891964	4.93100028863493e-10	1.10656496641186e-07
ENSMUSG00000027230	Creb3l1	296.705983967823	345.6399155686	240.348181474615	528.248715265241	482.733650408766	554.335723194393	408.00202831324	-0.8254808106051	0.133324956391081	-6.19149507301339	5.95962012545844e-10	1.25509599842155e-07
ENSMUSG00000007279	Scube2	46.6089859872826	68.9465448378309	52.4216198277966	166.981204228973	162.626688197409	129.434267090478	104.503218361628	-1.43990567270338	0.233108201581809	-6.17698417701551	6.53376184770146e-10	1.35516160504826e-07
ENSMUSG00000036103	Colec12	891.254756439745	1055.97076567415	794.236994749447	1474.47553922942	1409.08820343198	1270.24111772242	1149.21122954119	-0.597607805448351	0.0980110269499278	-6.09735275760001	1.07839371945099e-09	2.10887594650922e-07
ENSMUSG00000061723	Tnnt3	289.885156750172	421.843991441992	324.420590632402	661.623639397817	644.331055769483	535.59007071922	479.615750785181	-0.82430126288954	0.135348739738823	-6.09020271987876	1.12767801694168e-09	2.14399782971037e-07
ENSMUSG00000086596	Susd5	312.621247475676	445.430967307565	267.053534971794	718.334237060487	616.540419178786	588.256427673277	491.372805611264	-0.90386529068634	0.149582516642388	-6.04258646648688	1.5166302209752e-09	2.76815347932394e-07
ENSMUSG00000090958	Lrrc32	348.998992636482	282.13651900744	391.678517958631	589.160097939961	536.256357916774	584.685827201816	455.486052110184	-0.74392050830038	0.12453744150333	-5.97346869600248	2.32261371052087e-09	4.07618706196414e-07
ENSMUSG00000029675	Eln	1007.20881913981	1232.87308466595	859.516747742552	1660.36027601262	1563.48062893585	1506.79339895674	1305.03882590892	-0.608460387336582	0.102154739221695	-5.95626196075064	2.58072548501466e-09	4.47184191953996e-07
ENSMUSG00000027978	Prss12	171.657484977553	164.201639679571	206.7192178115	357.066726024219	339.663336108513	302.60838995636	256.986132426286	-0.87982690089778	0.148267524184161	-5.93404999334148	2.9555177153824e-09	5.05726025073371e-07
ENSMUSG00000037139	Myom3	370.59827882571	343.825532809709	341.235072463959	603.862845482135	499.202175795845	572.1887255517	455.152105154843	-0.667729662647672	0.113842148100781	-5.86539936031907	4.48052963636198e-09	7.21576119907755e-07
ENSMUSG00000041577	Prelp	248.960193444266	301.187537975788	240.348181474615	453.68478130136	424.064528717295	447.217709050549	352.577155327312	-0.742322297015537	0.127369089796753	-5.82811966545484	5.60553788416058e-09	8.92258233677607e-07
ENSMUSG00000019997	Ccn2	496.783582352256	792.885265635055	525.205285444528	1446.12024039809	1514.07505277462	1339.86782691592	1019.15620892008	-1.24323380342165	0.219920346531493	-5.65310951455603	1.57570837835412e-08	2.29466723311591e-06
