gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1.4_RNAseq_rep1	E12.5_PFL_DelCBS1.4_RNAseq_rep2	E12.5_PFL_DelCBS1.4_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000001918	Slc1a5	472.164442633561	228.274495520008	471.842499270942	235.443817561785	215.400525805318	189.820105369204	302.15764769347	0.869498701619013	0.212395333058134	4.09377498601171	4.24406198015091e-05	0.0109200515515694
ENSMUSG00000016262	Sertad4	2286.50003238289	2647.809892692	1981.54823786567	3002.1750130729	2868.33351339826	3123.8674329846	2651.70568706605	-0.378656710933079	0.0931070778675944	-4.06689501598965	4.76436934130533e-05	0.0120317971680335
ENSMUSG00000035258	Abi3bp	26.2313579240867	73.1872428384758	42.8082912645008	127.842796866128	81.1508957685151	150.019115533726	83.539950032572	-1.32250050802988	0.327411895014277	-4.03925614239582	5.36209836369155e-05	0.0132950791610294
ENSMUSG00000039410	Prdm16	1663.50528168583	1661.52466777349	1802.7047099162	1294.40831826954	1483.75897077989	1231.78960849801	1522.94859282049	0.354591343130473	0.0880408947876395	4.0275754123782	5.63549947013975e-05	0.0137234475489814
ENSMUSG00000019997	Ccn2	477.629308867746	761.495836200331	505.13783692111	1355.13364678095	981.825652507961	1504.2733081409	930.915931569833	-1.1381934287385	0.282956542050497	-4.02250260937728	5.75830160697041e-05	0.0137764840375887
ENSMUSG00000043903	Zfp469	208.757890145857	317.144718966728	223.554409936838	404.835523409404	325.605445984783	515.371791459399	332.544963317168	-0.729512202011655	0.181824395220246	-4.0121799999829	6.01605990674133e-05	0.0141450015427985
ENSMUSG00000037887	Dusp8	26.2313579240867	53.1478787279407	15.2207257829336	93.7513843684936	66.122952107679	109.197587497338	60.6119810680786	-1.4967415988694	0.373722145170227	-4.00495827772702	6.2028428199399e-05	0.0143369775483933
ENSMUSG00000001661	Hoxc6	84.1589400064449	68.8308593361855	70.395856746068	37.2874824192872	27.050298589505	29.5956078263813	52.886507487312	1.24934774757557	0.31289174227621	3.99290738223667	6.52680666031106e-05	0.01480661195196
ENSMUSG00000026725	Tnn	26.2313579240867	52.2766020274827	21.8797933129671	60.7253285114106	80.1490328577927	142.875348127358	64.022910460183	-1.4898584223732	0.3734513032488	-3.98943157892967	6.62318199801685e-05	0.01480661195196
ENSMUSG00000036545	Adamts2	241.547087550965	302.333015058941	168.379278973703	403.770166768853	324.603583074061	467.406496016643	318.006604573861	-0.745731935710732	0.187222213201787	-3.98313812745599	6.80111994283199e-05	0.0148806135856802
ENSMUSG00000040310	Alx4	782.568844735253	555.003258191775	761.987584508115	477.279774966877	517.963124843485	466.385957815734	593.531424176873	0.520426927741976	0.130741243765572	3.98058724816122	6.87452266552654e-05	0.0148806135856802
ENSMUSG00000005089	Slc1a2	38.2540636392931	95.8404370503849	46.6134727102342	170.45706248817	109.203057268743	136.7521189219	99.5200353464542	-1.19228751249916	0.300759704879122	-3.96425283426299	7.36261865720528e-05	0.0156272660430518
ENSMUSG00000033420	Antxr1	3455.98140649842	3920.7451520612	3411.3451661	4427.62219813022	4225.85775742712	4506.69669521724	3991.37472923903	-0.286258151727225	0.0722603980331019	-3.96148041692343	7.44864921022486e-05	0.0156272660430518
ENSMUSG00000027562	Car2	248.104927031987	142.018102174661	275.875654815672	112.927803898413	112.20864600091	132.669966118261	170.634183339984	0.893357978724541	0.226413499936554	3.94569219138823	7.95697785396596e-05	0.0164408040900809
ENSMUSG00000015094	Npdc1	112.576244424205	135.919165271455	111.301557287702	193.894908580294	176.327872287144	237.78540081196	161.30085811046	-0.754077482624795	0.191753472751569	-3.93253624982198	8.40542994830505e-05	0.017015955246594
ENSMUSG00000040896	Kcnd3	41.532983379804	89.7415001471786	45.6621773488009	162.999566004313	99.1844281615185	135.73158072099	95.8087059604342	-1.15818172127587	0.294682145194457	-3.93027450140083	8.4848937212612e-05	0.017015955246594
ENSMUSG00000090210	Itga10	144.272468582477	216.076621713595	136.986532046403	270.60058669997	234.435921109044	350.044602912028	225.402788843919	-0.777611337727351	0.199287832263315	-3.90195090636497	9.54205133628277e-05	0.0188586889960707
ENSMUSG00000057777	Mab21l2	4331.45297721482	3382.29615117813	4450.15970078522	3107.64532048745	3291.11966172311	3097.33343976094	3610.00120852495	0.356709954281831	0.0918395203204672	3.88405724504132	0.000102727704358819	0.0200128243477316
ENSMUSG00000045954	Cavin2	172.689773000238	211.720238211305	176.940937226603	261.012376935011	270.50298589505	348.003526510208	240.144972963069	-0.645465775610042	0.16671390982896	-3.87169718634909	0.000108080171660645	0.0207590042385383
