gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1_RNAseq_rep1	E12.5_DFL_DelCBS1_RNAseq_rep2	E12.5_DFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000054717	Hmgb2	1011.51043463379	624.128729797068	599.40942632664	185.307682377757	179.990832063077	154.664076721421	459.168530319959	2.1048080420896	0.179626530830658	11.7176902117755	1.03454309863625e-31	1.38577048062325e-27
ENSMUSG00000020415	Pttg1	774.516464405536	969.369372691459	699.614649572734	282.481223136824	319.338573015136	282.760091183947	554.680062334273	1.46421412034521	0.132870295842056	11.0198755189477	3.06482617322925e-28	2.05266732952029e-24
ENSMUSG00000025478	Dpysl4	367.088532608874	285.1086390269	301.526626313249	158.189484956622	146.121589470562	119.556280165025	229.598525423539	1.17299347134122	0.172308825783845	6.80750661496988	9.93047461591631e-12	4.43395691600663e-08
ENSMUSG00000035455	Fignl1	868.305567517144	961.075303192495	976.545448361942	1376.24851912261	1457.34512412362	1262.93181666387	1150.40862983028	-0.545425005310982	0.0877258007682525	-6.21738417357791	5.05511047289711e-10	1.69283011961142e-06
ENSMUSG00000001918	Slc1a5	652.489781862477	407.446164136624	641.313428775007	948.006984847182	1079.94499237846	1053.23389669188	797.072541448606	-0.856122953726582	0.140348998264232	-6.09995770767652	1.06096533086067e-09	2.36860510114645e-06
ENSMUSG00000073643	Wdfy1	637.362507167056	641.753627482367	662.26542999919	328.808143731263	398.68936994617	201.158185674486	478.339544000089	1.06509653562853	0.174384004999418	6.10776507645918	1.01035920544846e-09	2.36860510114645e-06
ENSMUSG00000038393	Txnip	1671.05961135413	1611.12300017383	1848.33089060297	2290.35775719337	2212.14538761394	2486.96039930579	2019.99617437401	-0.445659054732578	0.0771604833970572	-5.77574213006519	7.6614635866037e-09	1.46607578203652e-05
ENSMUSG00000052428	Tmco1	1276.7419842935	1299.05863527529	1279.89398782512	1013.54262861493	875.761844177873	907.109554267966	1108.68477240911	0.464788610364457	0.0839160361883921	5.53873409035912	3.04665816176247e-08	5.10124825960104e-05
ENSMUSG00000015222	Map2	2389.10091689677	2436.38291532078	2188.11769306472	1729.91501048991	1891.83912195331	1692.76510963813	2054.6867945606	0.399623178542774	0.0740554667896037	5.39626844400466	6.80411238722018e-08	0.00010126787269646
ENSMUSG00000042745	Id1	2546.42457372914	2265.31773190464	2728.31494201867	3162.65977423988	3338.53962697642	3500.34220260934	2923.59980857968	-0.407391855661216	0.0761062814541325	-5.35293339626299	8.65397092790024e-08	0.000115919940579224
ENSMUSG00000004018	Fancl	522.395219481859	690.481285788783	679.573604923516	433.891158738162	394.818599364168	371.004012258132	515.360646759103	0.659332381146127	0.129261989489534	5.10074449379808	3.3832003019114e-07	0.000411981527673666
ENSMUSG00000031799	Tpm4	6581.37297748767	6086.81025355247	6015.04626449058	5259.80037480767	5238.12029009373	5102.9656724405	5714.01930547877	0.260112093809749	0.0564622554482743	4.6068314442033	4.0885114962417e-06	0.0045638009576798
ENSMUSG00000078815	Cacng6	20.1696995938942	41.4703474948218	30.9725235487929	3.38977467764189	5.80615587300247	0.948859366389085	17.1262267590904	3.19416718906131	0.699182552212385	4.56843091829763	4.91388970694621e-06	0.00506319635573419
ENSMUSG00000048450	Msx1	4434.30845571763	5738.45933459596	5115.93212500062	6946.77823938078	5993.88824622955	7022.50817064562	5875.31242859503	-0.384849008524503	0.0863734941052236	-4.45563783787262	8.36441331845076e-06	0.00800295117147486
ENSMUSG00000071660	Ttc9c	1548.02444383138	1674.36528010343	1710.77644778333	1264.38595476043	1224.13119655802	1380.59037809612	1467.04561685545	0.350378210884875	0.0793768319678245	4.41411180313798	1.01425535384034e-05	0.00905730030979421
ENSMUSG00000007872	Id3	4186.22115071274	3814.23521083623	4329.77660080626	4940.03163021678	4850.07553924807	5139.02232836329	4543.22707669723	-0.27569575337534	0.0629422005187299	-4.38014163952371	1.1860219188497e-05	0.00934515506058336
ENSMUSG00000052296	Ppp6r1	2775.35066411984	2316.1189075858	2894.10903866221	3396.55422699717	3347.24886078593	3408.30284406959	3022.94742370342	-0.345807442826045	0.0788266087005405	-4.38693797090466	1.14957556138675e-05	0.00934515506058336
ENSMUSG00000018604	Tbx3	445.750361025061	370.122851391284	449.101591457497	690.384109346398	558.358656453738	586.395088428455	516.685443017072	-0.534220146314268	0.123796867311188	-4.31529616150464	1.59389068756316e-05	0.0118612031999492
ENSMUSG00000030465	Psd3	1554.07535370955	1701.32100597506	1426.5579963944	1266.64580454552	1172.8434863465	1216.43770771081	1389.64689244697	0.356679993962462	0.0840559005541984	4.2433665169345	2.20191368129822e-05	0.0148031247265373
ENSMUSG00000069919	Hba-a1	2477.8475951099	2918.47570494808	3602.83325398459	1395.45724229591	1432.18511534061	1911.95162327401	2289.79175582552	0.924920008945244	0.218011979870086	4.24251919319482	2.21024631975174e-05	0.0148031247265373
ENSMUSG00000036120	Rfxank	839.059503105998	669.746112041372	643.135341924936	524.285150141946	506.103253596716	498.15116735427	613.413421360873	0.493373400123137	0.117403948870447	4.20235779860834	2.64149182335439e-05	0.0168489442732533
ENSMUSG00000000120	Ngfr	1044.79043896372	888.502195076557	849.922484441877	1327.66174874307	1189.29426132001	1163.30158319302	1077.24545195638	-0.402749448656467	0.0972290844970297	-4.14227338187856	3.43880091815063e-05	0.0200272775211424
