gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1_RNAseq_rep1	E12.5_PFL_DelCBS1_RNAseq_rep2	E12.5_PFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000091345	Col6a5	185.559418146563	76.1385021427518	129.749727181666	481.23548435624	424.846145762087	434.902014629008	288.738548703053	-1.78698341548172	0.209086665289194	-8.54661588777119	1.26750154183376e-17	1.72785810182778e-13
ENSMUSG00000052428	Tmco1	1289.03406452109	1275.10112209183	1195.41476587226	854.307564609554	849.692291524174	863.942816122854	1054.58210412363	0.549919497136674	0.0825274425569562	6.66347435590468	2.67428727933979e-11	1.822794209598e-07
ENSMUSG00000020415	Pttg1	561.070193330731	686.996829678852	447.445750354421	302.490875881065	317.632613694768	275.477017352606	431.852213382074	0.920482968632305	0.148728279756381	6.18902450925989	6.05376711621143e-10	2.75083177760647e-06
ENSMUSG00000048087	Gm4737	149.325922295459	127.772658768296	0	1.83327803564282	2.00399125359475	1.17224262703237	47.0180154966708	5.77246787948211	0.969713482553556	5.95275613192611	2.63664034073434e-09	8.98567028122262e-06
ENSMUSG00000070923	Klhl9	2723.0021124466	1688.17437509619	2200.02110941854	1434.54006289051	1389.76793436796	1366.83490311974	1800.39008288992	0.656262457166534	0.120310870414008	5.45472287672953	4.9049279284196e-08	0.000133727955040432
ENSMUSG00000015222	Map2	2516.58098456758	2614.08857356781	2433.76142676786	1926.7752154606	2040.06309615946	1964.67864290625	2249.32465657159	0.351102719436393	0.0678609770578143	5.17385299562177	2.29315267652085e-07	0.00044702993409086
ENSMUSG00000015980	Lrrc27	50.5072972469934	63.886329384148	38.1616844651958	136.57921365539	114.227501454901	132.463416854657	89.3042405102143	-1.32508444004656	0.256121140523141	-5.17366288991219	2.29548821789614e-07	0.00044702993409086
ENSMUSG00000101174	Hoxd4	332.6893709965	279.174507856756	317.696023172755	173.244774368247	193.385155971893	177.008636681887	245.533078174673	0.772047726699698	0.151622417441783	5.09191015237661	3.54474081623326e-07	0.000604023835086147
ENSMUSG00000054717	Hmgb2	686.240451725454	344.811147634991	365.39812875425	111.829960174212	157.313313407188	124.257718465431	298.308453360254	1.82687052533977	0.369323674893961	4.94652969611085	7.55482069689432e-07	0.00114430350822293
ENSMUSG00000035455	Fignl1	742.237672586251	681.745898496593	696.450741489824	890.056486304589	1109.20915886469	978.822593572026	849.75375855233	-0.490475375098948	0.101189892891982	-4.84707870599804	1.25292730010527e-06	0.00170799049550351
ENSMUSG00000062270	Morf4l1	514.954834974781	528.593739014047	476.067013703318	913.889100767946	664.32310056666	698.65660571129	632.747399123007	-0.585057671855641	0.124347403454081	-4.70502524060899	2.53834547719066e-06	0.00314570232227846
ENSMUSG00000004018	Fancl	400.764423807665	567.100567683944	540.941877294151	273.15842731078	342.682504364702	325.883450314998	408.421875129373	0.684211812320027	0.146929561568634	4.65673350560171	3.21265862200755e-06	0.00364958019460058
ENSMUSG00000070732	Rbm44	1.09798472276073	0	0	13.7495852673212	14.0279387751633	50.4064329623917	13.2136569546061	-6.21528298053156	1.34756064164893	-4.61224733673304	3.98338598857117e-06	0.00417703983047709
ENSMUSG00000027102	Hoxd8	498.48506413337	541.721066969694	479.883182149837	327.240129362244	364.726408154245	351.67278810971	427.28810647985	0.544226634966731	0.118551313341132	4.5906419729043	4.41884761663937e-06	0.00430269505071628
ENSMUSG00000020253	Ppm1m	496.289094687848	428.826046551131	450.307876689311	693.895736490808	667.329087447052	593.154769278377	554.967101857421	-0.510495547347512	0.111588716819786	-4.57479539057656	4.76685617152093e-06	0.00433211888867822
ENSMUSG00000030400	Ercc2	1077.12301302827	817.394954038277	1056.12461757429	1310.79379548462	1472.93357139214	1311.73949964922	1174.35157519447	-0.474792408582871	0.104724713509543	-4.53371885843934	5.79541567693932e-06	0.0049376941567523
ENSMUSG00000052296	Ppp6r1	2627.47744156642	2207.14140694276	2509.13075358662	3056.07448541658	3042.05872295683	3065.41446968964	2751.21621335981	-0.320270409230206	0.0740658265646051	-4.32413197942029	1.53133604774455e-05	0.0122795135310904
ENSMUSG00000035783	Acta2	3788.04729352451	4001.20956088116	3963.09093171059	5120.3455535504	4360.68496782218	5062.91590615279	4382.7157022736	-0.30718441957267	0.0714603543871655	-4.29866913209489	1.71826754771355e-05	0.0130130128946839
ENSMUSG00000025478	Dpysl4	738.943718417969	520.717342240659	747.969015517838	439.986728554277	498.993822145093	397.390250563972	557.333479573301	0.584204854799721	0.140022045431306	4.17223482916715	3.01626533610724e-05	0.0216409100325336
ENSMUSG00000038393	Txnip	1401.02850624269	1699.55139265775	1740.17281161293	2175.18438929021	1886.75776525946	2186.23249941536	1848.1545607464	-0.366921085427131	0.092191056011473	-3.98000740312019	6.89131221333001e-05	0.0450722844808573
ENSMUSG00000079277	Hoxd3	125.170258394723	100.642847659959	145.014400967744	46.7485899088919	56.111755100653	78.5402560111685	92.0380180071899	1.04043947541749	0.261534016397138	3.97821854973383	6.94335368323066e-05	0.0450722844808573
ENSMUSG00000030376	Slc8a2	163.599723691348	154.02731467959	188.900338102719	258.492203025638	262.522854220912	260.237863201185	214.630049486899	-0.625520321751723	0.158340504602491	-3.95047573785414	7.79960045524319e-05	0.0483291606390342
